Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale;0.47820948234204874;0.009546941859894308;0.7520384972696168;0.05762796240769906;0.5838730948037576;0.02067599585607845;0.5169461770637152;0.03029269404014045;0.48764912856413617;0.014357373199248145;0.2529095411300659;0.03902394165950276
SVDD_RBF_0.01_scale;0.4762131760811619;0.006348665483102612;0.7799206942650624;0.050084408475212346;0.5908129297053291;0.017424916129345634;0.5172285863408423;0.02786146112121684;0.4832612432415539;0.009852222569971269;0.2971689462661743;0.032773547211711204
SVDD_RBF_0.05_scale;0.47613476158468043;0.006422635389462966;0.7806657149978473;0.050536582729778005;0.5909622264730688;0.017619541859163416;0.5174080123450372;0.027929069827189883;0.4831081559729558;0.00992378291694578;0.3063384532928467;0.037023274820259654
SVDD_RBF_0.1_scale;0.47613200818707213;0.00645095936876317;0.7807722112704779;0.05057338530901564;0.5909936874571226;0.017696421042394696;0.5174034417133948;0.02796077618118772;0.48310818201706407;0.009927672701638041;0.3082886219024658;0.03721338432496089
SVDD_RBF_0.2_scale;0.47609872548550347;0.006448306142625956;0.7806657149978473;0.050536582729778005;0.5909378186302792;0.017677820356886843;0.517413771896269;0.02795567920794835;0.4830571355647925;0.009927302421138717;0.30611867904663087;0.03744070777823663
SVDD_RBF_0.3_scale;0.47655178046667174;0.006790676223323275;0.7793888926653525;0.05068225249693903;0.5909033472942482;0.017635446425733912;0.5179678759569448;0.028197634775575107;0.4838225458636747;0.010573100657807777;0.3069859266281128;0.03422443165822621
SVDD_RBF_0.4_scale;0.47712750682418814;0.007971208548285457;0.7674692407042348;0.05163299195451019;0.5878219161865325;0.018330680193127266;0.5198575407980246;0.028445234175205905;0.48525103915992124;0.012324223045561664;0.31170127391815183;0.03496080138571319
SVDD_RBF_0.5_scale;0.47814264753439256;0.010234414385114101;0.7397935785013481;0.05160443111083001;0.5802581159679667;0.021049087851032575;0.5228434811352315;0.027174002392101507;0.4882107176714484;0.014965852496948633;0.3183211088180542;0.042410367568551974
SVDD_RBF_0.6_scale;0.4844596775216945;0.015511277182748934;0.6824200711485736;0.041160913439560805;0.5661634873659595;0.021192324105397627;0.5268089825851716;0.02659979495265473;0.49928435999208265;0.021569733028531202;0.3340646266937256;0.053141855230655656
SVDD_RBF_0.7_scale;0.4936596510704293;0.019596230807935742;0.6094072462782952;0.0458051584542191;0.5442432393058547;0.01975755104659249;0.5278144572355487;0.023830897311343625;0.5115823879322019;0.024391535749784227;0.3543220043182373;0.054694567367172126
SVDD_RBF_0.8_scale;0.5184251740515625;0.029162709082637784;0.509797203906374;0.04595329099692757;0.5116548149988894;0.017603745160314127;0.5281282323751334;0.020613475126280017;0.5346477794793262;0.026374102099136678;0.3687507152557373;0.055032107649963184
SVDD_RBF_0.9_scale;0.562257464521797;0.04280385994774622;0.34155382593524125;0.09880839669540571;0.4137216818264002;0.0711517604542571;0.5280842591222699;0.021707558946899783;0.5517450073444385;0.019156996539389192;0.39499597549438475;0.0603985719846611
