Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale;0.2525213147146214;0.005914133945233574;0.7696406745686268;0.05011919123360571;0.37972936564543985;0.0039586915202123145;0.5774722229459278;0.011808866540892452;0.4353735817980725;0.035804470032169376;0.07067818641662597;0.013827094558885842
SVDD_RBF_0.01_scale;0.2519140264305637;0.00583558766839759;0.7777207190755471;0.04913941734407344;0.38004709273225784;0.003909480609668298;0.5785880671927472;0.011287276295991997;0.4301779922034239;0.03555637961195492;0.07253849506378174;0.0058333436056054845
SVDD_RBF_0.05_scale;0.25187279704212395;0.005929578136395885;0.7774600478194582;0.04922807847072404;0.3799613052199852;0.0038776353846852827;0.5786119869096987;0.011316146808308863;0.4301487139145304;0.03582862676381978;0.07143177986145019;0.004823161690661228
SVDD_RBF_0.1_scale;0.25223909803983713;0.0061215529325225615;0.7779816026738127;0.049906978348869396;0.3804146240548215;0.0036506977075639346;0.5789395743679384;0.011033012278539887;0.4308365716246169;0.03667905927221341;0.07074670791625977;0.004132240732410571
SVDD_RBF_0.2_scale;0.2577790366750119;0.004634589112503083;0.7423332583057642;0.03635505880991307;0.38234443206097996;0.002393849456040421;0.5867270942962998;0.007011267750877162;0.46139679244649273;0.025347033285239396;0.07646424770355224;0.003876340395905588
SVDD_RBF_0.3_scale;0.2686443138991869;0.004261346761621842;0.654945364357941;0.05055209096936406;0.38040315612302933;0.007599550492594397;0.5926044755452763;0.007644872592700372;0.5215651134750047;0.025302744354031816;0.08942842483520508;0.0038743169754909173
SVDD_RBF_0.4_scale;0.2833818574456718;0.006435043080595988;0.5582987994173331;0.04769361061896084;0.3750344240131054;0.007973875040151153;0.5974784501988923;0.005907880647323003;0.5828754612808552;0.024401640568419137;0.09987659454345703;0.004158044172739608
SVDD_RBF_0.5_scale;0.3005864053858995;0.01370850537031438;0.4784654880260247;0.047422512038959204;0.3675044745436818;0.008447069314759307;0.5987267898317664;0.005185668550697427;0.6308084629249636;0.02825912717788537;0.11237692832946777;0.0049302837719886325
SVDD_RBF_0.6_scale;0.31547846639595967;0.013762889969757169;0.3917257473382908;0.04740770120250778;0.347331231140626;0.013689111016002184;0.5996574574962825;0.005181377544153398;0.6708234161019793;0.023091645194413254;0.12354609966278077;0.006694706552543147
SVDD_RBF_0.7_scale;0.34149585291867535;0.01420183218249657;0.29273399046158943;0.04500526387437963;0.31232788348782037;0.021711872636313044;0.5992346607598701;0.0037726743545688102;0.7129747825420855;0.016364165102263305;0.13585519790649414;0.0030409842943582323
SVDD_RBF_0.8_scale;0.3670991123157359;0.019306105889195426;0.19289605001082946;0.03825916632426519;0.24973922207625182;0.030043861199812782;0.5986794070096944;0.0036439681637585658;0.7429199622235527;0.011146601761241628;0.1493525266647339;0.004416706809082998
SVDD_RBF_0.9_scale;0.4194110428724624;0.03443808086682805;0.10002972790473481;0.037468821141029264;0.1567455484494419;0.04954380193098808;0.5983445740820821;0.002882701765288757;0.7654300288310174;0.007390539545667786;0.16390321254730225;0.005056814410317104
