Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.2212876499903777;0.0072810052666539195;0.7886609277654383;0.08990533524227791;0.3451436660530218;0.01657200314860596;0.4754357960214663;0.026831982944121903;0.33081676786541137;0.033177579537724614;0.0391730546951294;0.005598565795224662
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.22118216900300064;0.007589722477400065;0.7888565373785934;0.08860478094581012;0.34505468769887476;0.016730366838840518;0.47491229240460087;0.028031439532233516;0.3302752930313731;0.03252099437139797;0.04003756046295166;0.0019984468757440026
SVDD_RBF_0.05_scale_[2, 4, 6, 8, 10];0.22125542108854918;0.0075414765747556164;0.7892472894521148;0.08848324353342371;0.3451805003255807;0.01665462376042499;0.47481415037556085;0.02803568621079799;0.33030457346237146;0.032640723786652046;0.03996386528015137;0.0014526647325064004
SVDD_RBF_0.1_scale_[2, 4, 6, 8, 10];0.22127324110177912;0.007496017755857708;0.7879440605769761;0.08803687769056252;0.3450869731723258;0.016679697571112075;0.47498196636169343;0.02759709331509218;0.33115339107191266;0.03164906449890133;0.04002854824066162;0.0018511713863733716
SVDD_RBF_0.2_scale_[2, 4, 6, 8, 10];0.21917118171729438;0.007363196949533586;0.7501451995804118;0.09665047944088943;0.3385712639506544;0.01776961631517516;0.4763497371744928;0.02251237077397715;0.34543824208937823;0.03930959467416015;0.04455921649932861;0.0016507327347308266
SVDD_RBF_0.3_scale_[2, 4, 6, 8, 10];0.21637541524249046;0.007124786255224188;0.6878423486743478;0.1003352609241941;0.3282654525023024;0.018459649561033725;0.4757235577946612;0.019810232984748304;0.372148841326926;0.04537582943789362;0.05102739334106445;0.0021138349456547682
SVDD_RBF_0.4_scale_[2, 4, 6, 8, 10];0.21167724942144006;0.01015702808341098;0.6215095830024334;0.10108284224409564;0.31475859291254615;0.023018010757745545;0.4652043218787979;0.022546543199484712;0.39757078028482107;0.04396518770380012;0.05879414081573486;0.0011839867274318528
SVDD_RBF_0.5_scale_[2, 4, 6, 8, 10];0.2053604586633259;0.011444871946289523;0.5364039852379718;0.10987603621230782;0.29533514196569927;0.026858720387665656;0.460516084770787;0.021504490787452722;0.4327697269861682;0.052590853249424294;0.06651546955108642;0.002066798553955136
SVDD_RBF_0.6_scale_[2, 4, 6, 8, 10];0.1984132194820563;0.01288450509143919;0.4486227061736364;0.10454347043086719;0.27270993570704427;0.028910287386150986;0.45164976576044713;0.022717853349847862;0.47126256473012385;0.059797440049667354;0.07414734363555908;0.0027524345294376307
SVDD_RBF_0.7_scale_[2, 4, 6, 8, 10];0.19074932139224715;0.01594866635480445;0.3408971456964611;0.0718209268397553;0.24214147375357148;0.026803145130157018;0.4391762441845959;0.024847894065764396;0.5261334947737784;0.056543449364789215;0.08083035945892333;0.00254888901457528
SVDD_RBF_0.8_scale_[2, 4, 6, 8, 10];0.18622844945818862;0.021217647380423896;0.2352527933613342;0.06485025595684413;0.20358084119244593;0.028435067361944538;0.4343679136199272;0.026132123223638115;0.5933277011684924;0.062080440056898646;0.08847806453704835;0.0033441220884497798
SVDD_RBF_0.9_scale_[2, 4, 6, 8, 10];0.18248351839056304;0.03571188712682836;0.13163737052435776;0.044276845522377505;0.14679735865231963;0.03263290401107559;0.4254272538299631;0.025786947537415793;0.6649115152187124;0.05301240532902508;0.09667382240295411;0.004007713901475275
SVDD_RBF_0.001_scale_[3, 5, 7, 9];0.22565949166279106;0.010725740382516195;0.818774573298396;0.07565085860807136;0.35296772849232544;0.011962044898292971;0.4692235142705269;0.042903719878044984;0.3257226390663028;0.05767063865824649;0.035987043380737306;0.004072043245685787
SVDD_RBF_0.01_scale_[3, 5, 7, 9];0.22556696865997772;0.010248438111180935;0.8201430336902098;0.07478897584807441;0.3530193246839634;0.011586584999881843;0.46738551892181934;0.04183265827402082;0.3248150806579586;0.056647861575658896;0.03580231666564941;0.0018245236385043065
SVDD_RBF_0.05_scale_[3, 5, 7, 9];0.22556369899085946;0.010199551666501354;0.8200780145157113;0.0749949190799127;0.3530012418218137;0.01143701263934624;0.46759851161584887;0.04170164558010068;0.3248150720895393;0.056902525388553796;0.036455750465393066;0.0017240969789577647
SVDD_RBF_0.1_scale_[3, 5, 7, 9];0.22543552755998322;0.010383969976333805;0.8177970773222801;0.07484356136033611;0.3526371645775872;0.011804603753836131;0.4680367198252039;0.04191578275510669;0.3256201115025546;0.05662406548000878;0.03734347820281982;0.0014296109482379038
